business_id,date,review_id,stars,text,type,user_id,cool,useful,funny,sentiment,sentiment_label
9yKzy9PApeiPPOUJEtnvkg,2011-01-26,fWKvX83p0-ka4JS3dc6E5A,5,wife took birthday breakfast excellent weather perfect made sitting outside overlooking grounds absolute pleasure waitress excellent food arrived quickly semi busy saturday morning looked like place fills pretty quickly earlier get better favor get bloody mary phenomenal simply best ever pretty sure use ingredients garden blend fresh order amazing everything menu looks excellent white truffle scrambled eggs vegetable skillet tasty delicious came pieces griddled bread amazing absolutely made meal complete best toast ever anyway wait go back,review,rLtl8ZkDX5vH5nAx9C3q5Q,2,5,0,Positive,2
ZRJwVLyzEJq1VAihDhYiow,2011-07-27,IjZ33sJrzXqU-0X6U8NwyA,5,idea people give bad reviews place goes show please everyone probably griping something fault many people like case friend arrived pm past sunday pretty crowded thought sunday evening thought would wait forever get seat said seated girl comes back seating someone else seated waiter came got drink orders everyone pleasant host seated us waiter server prices good well placed orders decided wanted shared baked spaghetti calzone small beef pizza try calzone huge got smallest one personal got small pizza awesome friend liked pizza better liked calzone better calzone sweetish sauce like sauce box part pizza take home door everything great like bad reviewers goes show try things bad reviewers serious issues,review,0a2KyEL0d3Yb1V6aivbIuQ,0,0,0,Positive,2
6oRAC4uyJCsJl1X0WZpVSA,2012-06-14,IESLBzqUCLdSzSqm0eCSxQ,4,love gyro plate rice good also dig candy selection,review,0hT2KtfLiobPvh6cDC8JQg,0,1,0,Positive,2
_1QQZuf4zZOyFCvXc0o6Vg,2010-05-27,G-WvGaISbqqaMHlNnByodA,5,rosie dakota love chaparral dog park convenient surrounded lot paths desert xeriscape baseball fields ballparks lake ducks scottsdale park rec dept wonderful job keeping park clean shaded find trash cans poopy pick mitts located park paths fenced area huge let dogs run play sniff,review,uZetl9T0NcROGOyFfughhg,1,2,0,Positive,2
6ozycU1RpktNG2-1BroVtw,2012-01-05,1uJFq2r5QfJG_6ExMRCaGw,5,general manager scott petello good egg go detail let assure issues albeit rare speak scott treat guy respect state case surprised walk totally satisfied like always say mistakes inevitable recover important thanks scott awesome staff got customer life,review,vYmM4KTsC8ZfQBg-j5MWkw,0,0,0,Positive,2
-yxfBYGB6SEqszmxJxd97A,2007-12-13,m2CKSsepBCoRYWxiRUsxAg,4,quiessence simply put beautiful full windows earthy wooden walls give feeling warmth inside restaurant perched middle farm restaurant seemed fairly full even tuesday evening secured reservations couple days friend sampled sandwiches farm kitchen earlier week impressed enough want eat restaurant crisp fresh veggies disappoint ordered salad orange grapefruit slices crudites start good even know much liked raw radishes turnips tried pesto aioli sauces entrees ordered lamb friend ordered pork shoulder service started good trailed quickly waiting food took long time couple seated us received finished entrees received one bothered explain situation maitre apologized almost minutes later apparently chef unhappy sauce entree started anew really problem communicated us earlier troubles comped glass wine ordered forgot bring entree requested also offer us bread echo lady whispered us way ask bread received warm foccacia apple walnut pomegranate slices wonder honey butter yum entrees solid quite live innovation freshness vegetables lamb sauce delicious meat tough maybe vegetarian entrees way go dessert gingerbread pear cake yet another winner entrees tad inspired service spotty place definitely would warranted five stars return like try tasting menu bill came two people including tip drinks,review,sqYN3lNgvPbPCTRsMFu27g,4,3,1,Positive,2
zp713qNhx8d9KCJJnrw1xA,2010-02-12,riFQ3vxNpP4rWLk_CSri2A,5,drop drive ate go back next day food good cute little green building may gone competely unoticed driving palm rd avoid construction waiting turn onto th street grand opening sign caught eye little yelping soul leaped joy new place try looked desolate outside opened door put easy decor smell cleanliness inside ordered dinner two go menu awesome loved seeing variety poblano peppers mole mahi mahi mushrooms something wrapped banana leaves made difficult choose something far la condesa shrimp burro baja sur dogfish shark taco delicious meals shrimp burro stole show much flavor snagged bites hubbys mole mahi mahi burros mmmm delight salsa bar endless really stocked excited try strawberry salsa hot fact big wimp comes hot peppers horchata handmade delicious throw pecans fruit yummy bonus good food enough win art restaurant sho sucker mexican folk art frida kahlo oprah painting diego hanging salsa bar amazing paintings great love artist,review,wFweIWhv2fREZV_dYkz_1g,7,7,4,Positive,2
hW0Ne_HTHEAgGF1rAdmR-g,2012-07-12,JL7GXJ9u4YMx7Rzs05NfiQ,4,luckily travel far make connecting flight thank phoenix brief layover pleasant employees kind flight time hopefully next time grace phoenix presence little longer,review,1ieuYcKS7zeAv_U15AB13A,0,1,0,Positive,2
wNUea3IXZWD63bbOQaOH-g,2012-08-17,XtnfnYmnJYi71yIuGsXIUA,4,definitely come happy hour prices amazing sake bombers great atmosphere wait staff incredibly nice right needs ask thing always spot place gets crowded evening especially plan sitting outside wish one apollo beach brandon,review,Vh_DlizgGhSqQh4qfZ2h6A,0,0,0,Positive,2
nMHhuYan8e3cONo3PornJA,2010-08-11,jJAIXA46pU1swYyRCdfXtQ,5,nobuo shows unique talents everything menu carefully crafted features much drink start pork belly buns stout go longer,review,sUNkXg8-KFtCMQDV6zRzQg,0,1,0,Positive,2
