id,feedback_text,label
1,My order arrived damaged.,Complaint
2,Customer support didn’t respond to my issue.,Complaint
3,The product quality is excellent.,Praise
4,Can I return the product if it's defective?,Query
5,Is there a warranty on this item?,Query
6,I was charged twice for the same item.,Complaint
7,Can I change the delivery address?,Query
8,The product quality is excellent.,Praise
9,The delivery was delayed by a week.,Complaint
10,The product stopped working within a week.,Complaint
11,You should offer more color options.,Suggestion
12,Thanks.,Other
13,Offer discounts on bulk purchases.,Suggestion
14,"Great customer service, thank you!",Praise
15,I was charged twice for the same item.,Complaint
16,"Amazing experience, will order again!",Praise
17,Include user manuals with your products.,Suggestion
18,You should offer more color options.,Suggestion
19,Can I change the delivery address?,Query
20,I was charged twice for the same item.,Complaint
21,Is there a warranty on this item?,Query
22,Okay.,Other
23,My order arrived damaged.,Complaint
24,Not sure what to say.,Other
25,Okay.,Other
26,Include user manuals with your products.,Suggestion
27,Not sure what to say.,Other
28,Thanks.,Other
29,Customer support didn’t respond to my issue.,Complaint
30,Offer discounts on bulk purchases.,Suggestion
31,Customer support didn’t respond to my issue.,Complaint
32,How do I track my order?,Query
33,Just testing the form.,Other
34,"Amazing experience, will order again!",Praise
35,How do I track my order?,Query
36,"Great customer service, thank you!",Praise
37,"Amazing experience, will order again!",Praise
38,"Amazing experience, will order again!",Praise
39,What are the shipping charges for international delivery?,Query
40,The product quality is excellent.,Praise
41,Is there a warranty on this item?,Query
42,What are the shipping charges for international delivery?,Query
43,Add more size choices for shoes.,Suggestion
44,"Amazing experience, will order again!",Praise
45,The product stopped working within a week.,Complaint
46,The product quality is excellent.,Praise
47,I have no comments.,Other
48,Not sure what to say.,Other
49,I was charged twice for the same item.,Complaint
50,The product quality is excellent.,Praise
51,"Great customer service, thank you!",Praise
52,Include user manuals with your products.,Suggestion
53,Just testing the form.,Other
54,"Fast delivery, really impressed.",Praise
55,Just testing the form.,Other
56,Add more size choices for shoes.,Suggestion
57,I have no comments.,Other
58,Include user manuals with your products.,Suggestion
59,Offer discounts on bulk purchases.,Suggestion
60,Can I change the delivery address?,Query
61,Thanks.,Other
62,The product quality is excellent.,Praise
63,Please add PayPal as a payment method.,Suggestion
64,The delivery was delayed by a week.,Complaint
65,"Fast delivery, really impressed.",Praise
66,The product stopped working within a week.,Complaint
67,What are the shipping charges for international delivery?,Query
68,How do I track my order?,Query
69,The product quality is excellent.,Praise
70,You should offer more color options.,Suggestion
71,The product quality is excellent.,Praise
72,Is there a warranty on this item?,Query
73,Is there a warranty on this item?,Query
74,Customer support didn’t respond to my issue.,Complaint
75,Just testing the form.,Other
76,Thanks.,Other
77,Okay.,Other
78,The delivery was delayed by a week.,Complaint
79,I have no comments.,Other
80,Is there a warranty on this item?,Query
81,My order arrived damaged.,Complaint
82,Not sure what to say.,Other
83,"Amazing experience, will order again!",Praise
84,"Great customer service, thank you!",Praise
85,"Great customer service, thank you!",Praise
86,Customer support didn’t respond to my issue.,Complaint
87,"Fast delivery, really impressed.",Praise
88,The product stopped working within a week.,Complaint
89,How do I track my order?,Query
90,Include user manuals with your products.,Suggestion
91,Customer support didn’t respond to my issue.,Complaint
92,"Fast delivery, really impressed.",Praise
93,Include user manuals with your products.,Suggestion
94,The product stopped working within a week.,Complaint
95,Add more size choices for shoes.,Suggestion
96,How do I track my order?,Query
97,"Amazing experience, will order again!",Praise
98,Offer discounts on bulk purchases.,Suggestion
99,The delivery was delayed by a week.,Complaint
100,Thanks.,Other
101,Can I change the delivery address?,Query
102,How do I track my order?,Query
103,Can I return the product if it's defective?,Query
104,Is there a warranty on this item?,Query
105,"Amazing experience, will order again!",Praise
106,Okay.,Other
107,My order arrived damaged.,Complaint
108,My order arrived damaged.,Complaint
109,"Amazing experience, will order again!",Praise
110,Please add PayPal as a payment method.,Suggestion
111,What are the shipping charges for international delivery?,Query
112,The delivery was delayed by a week.,Complaint
113,"Fast delivery, really impressed.",Praise
114,Loved the packaging and attention to detail.,Praise
115,Add more size choices for shoes.,Suggestion
116,Loved the packaging and attention to detail.,Praise
117,Okay.,Other
118,Offer discounts on bulk purchases.,Suggestion
119,The product quality is excellent.,Praise
120,Can I return the product if it's defective?,Query
121,My order arrived damaged.,Complaint
122,Okay.,Other
123,How do I track my order?,Query
124,Not sure what to say.,Other
125,Just testing the form.,Other
126,What are the shipping charges for international delivery?,Query
127,Is there a warranty on this item?,Query
128,"Fast delivery, really impressed.",Praise
129,"Amazing experience, will order again!",Praise
130,"Amazing experience, will order again!",Praise
131,"Fast delivery, really impressed.",Praise
132,Can I return the product if it's defective?,Query
133,Okay.,Other
134,Can I change the delivery address?,Query
135,The delivery was delayed by a week.,Complaint
136,Okay.,Other
137,"Fast delivery, really impressed.",Praise
138,What are the shipping charges for international delivery?,Query
139,"Amazing experience, will order again!",Praise
140,How do I track my order?,Query
141,The delivery was delayed by a week.,Complaint
142,The product stopped working within a week.,Complaint
143,Please add PayPal as a payment method.,Suggestion
144,You should offer more color options.,Suggestion
145,The product quality is excellent.,Praise
146,I was charged twice for the same item.,Complaint
147,The delivery was delayed by a week.,Complaint
148,Thanks.,Other
149,Please add PayPal as a payment method.,Suggestion
150,You should offer more color options.,Suggestion
151,Offer discounts on bulk purchases.,Suggestion
152,How do I track my order?,Query
153,The product stopped working within a week.,Complaint
154,"Fast delivery, really impressed.",Praise
155,I have no comments.,Other
156,You should offer more color options.,Suggestion
157,Not sure what to say.,Other
158,You should offer more color options.,Suggestion
159,I was charged twice for the same item.,Complaint
160,Just testing the form.,Other
161,Can I return the product if it's defective?,Query
162,Can I return the product if it's defective?,Query
163,The delivery was delayed by a week.,Complaint
164,Offer discounts on bulk purchases.,Suggestion
165,What are the shipping charges for international delivery?,Query
166,How do I track my order?,Query
167,You should offer more color options.,Suggestion
168,Offer discounts on bulk purchases.,Suggestion
169,What are the shipping charges for international delivery?,Query
170,Include user manuals with your products.,Suggestion
171,Add more size choices for shoes.,Suggestion
172,Offer discounts on bulk purchases.,Suggestion
173,Add more size choices for shoes.,Suggestion
174,The delivery was delayed by a week.,Complaint
